1;arms_factory;3871.00;11.03;1843.00;3.14;0
1;arms_factory;4907.00;11.05;1674.00;5.81;0
1;arms_factory;4320.00;11.05;1592.00;2.54;0
1;arms_factory;4205.00;11.03;1805.00;5.21;0
1;arms_factory;4228.00;11.03;1603.00;1.59;0
1;arms_factory;4017.00;11.05;1443.00;4.25;0
1;industrial_complex;4066.00;11.07;1559.00;0.99;0
1;industrial_complex;4741.00;11.07;1922.00;3.66;0
1;industrial_complex;5089.00;11.05;1779.00;0.04;0
1;industrial_complex;4929.00;11.03;1871.00;2.70;0
1;industrial_complex;4642.00;11.07;1798.00;5.72;0
1;industrial_complex;4645.00;11.07;1726.00;0.64;0
1;air_base;4401.00;11.10;1743.00;4.76;0
1;naval_base;5589.00;11.18;1627.00;-2.91;4687
1;naval_base;4082.00;10.32;1438.00;-1.00;3903
1;naval_base;3986.00;11.55;1713.00;-2.19;4981
1;naval_base;5600.00;11.20;1519.00;0.00;4205
1;naval_base;4086.00;11.00;1658.00;-3.30;4722
1;naval_base;3889.00;9.50;1740.00;0.36;4981
1;naval_base;4144.00;9.50;1712.00;0.28;4722
1;naval_base;4202.00;11.05;1441.00;0.28;4033
1;naval_base;5447.00;9.50;1648.00;0.00;4505
1;naval_base;4438.00;10.28;1557.00;1.44;4419
1;naval_base;4011.00;10.03;1404.00;0.59;3903
1;naval_base;5142.00;11.07;1841.00;0.94;5202
1;naval_base;4277.00;10.00;1523.00;1.05;4406
1;naval_base;4226.00;9.50;1637.00;-1.14;4722
1;naval_base;5619.00;11.32;1870.00;-3.64;5299
1;naval_base;3906.00;9.50;1707.00;-0.46;4845
1;naval_base;5518.00;10.00;1583.00;-1.42;4205
1;naval_base;5116.00;14.85;1805.00;-2.03;5202
1;naval_base;4542.00;9.78;1573.00;0.59;4429
1;naval_base;3931.00;9.50;1400.00;-0.30;3903
1;naval_base;5123.00;11.40;1810.00;-2.21;5202
1;naval_base;4206.00;11.43;1598.00;-2.17;4722
1;naval_base;4172.00;11.10;1610.00;-3.32;4722
1;naval_base;5099.00;10.03;1811.00;0.95;5202
1;naval_base;4319.00;9.50;1463.00;0.46;4033
1;naval_base;5529.00;11.65;1657.00;0.24;4687
1;naval_base;5158.00;9.50;1841.00;-2.20;5202
1;naval_base;4038.00;11.98;1491.00;-3.04;4354
1;naval_base;4256.00;11.90;1511.00;0.69;4406
1;naval_base;5477.00;11.07;1885.00;-4.42;5299
1;naval_base;5539.00;10.25;1533.00;-0.87;4205
1;naval_base;4520.00;9.68;1565.00;0.67;4429
1;naval_base;4255.00;10.28;1509.00;1.19;4406
1;naval_base;4510.00;9.50;1547.00;0.79;4429
1;naval_base;5182.00;11.23;1892.00;1.57;5202
1;naval_base;5199.00;12.25;1868.00;-2.06;5202
1;naval_base;4060.00;9.50;1530.00;-1.61;4354
1;naval_base;3751.00;9.50;1879.00;-0.79;5123
1;naval_base;5087.00;12.53;1794.00;-2.40;5202
1;naval_base;3666.00;12.53;1863.00;-1.57;5128
1;naval_base;4243.00;9.50;1623.00;-1.30;4722
1;naval_base;4011.00;9.50;1727.00;0.23;4981
1;naval_base;5521.00;10.10;1892.00;1.50;5299
1;naval_base;5261.00;10.00;1909.00;-2.36;5359
1;naval_base;5278.00;9.98;1915.00;-2.36;5359
1;naval_base;5103.00;9.50;1916.00;0.41;5202
1;naval_base;3421.00;9.50;1917.00;0.00;5223
1;naval_base;4046.00;12.15;1494.00;-2.15;4354
1;naval_base;5329.00;11.20;1936.00;-2.21;5359
1;naval_base;5619.00;9.50;1886.00;0.45;5299
1;naval_base;5368.00;11.07;1948.00;-1.94;5416
1;naval_base;5247.00;12.15;1942.00;0.95;5359
1;naval_base;4249.00;12.28;1497.00;-4.63;4406
1;naval_base;155.00;12.10;1926.00;1.54;5392
1;naval_base;5629.00;9.65;1681.00;0.21;4687
1;bunker;3868.00;11.05;1790.00;1.96;0
1;bunker;4789.00;11.07;1930.00;4.98;0
1;bunker;4724.00;11.10;1797.00;6.19;0
1;bunker;4448.00;11.07;1883.00;4.03;0
